Meldedatum,AnzahlFall,AnzahlTodesfall
2024-10-04,5,0
2024-10-07,19,0
2024-10-08,12,0
2024-10-09,7,0
2024-10-10,9,0
2024-10-11,7,0
2024-10-14,15,0
2024-10-15,8,0
2024-10-16,21,0
2024-10-17,20,0
2024-10-18,7,0
2024-10-21,10,0
2024-10-22,12,0
2024-10-23,5,0
2024-10-24,5,0
2024-10-25,6,0
2024-10-28,3,0
2024-10-29,4,0
2024-10-30,3,0
2024-11-01,1,0
2024-11-04,22,0
2024-11-05,12,0
2024-11-06,5,0
2024-11-07,3,0
2024-11-08,1,0
2024-11-11,6,0
2024-11-12,11,0
2024-11-13,15,0
2024-11-14,3,0
2024-11-18,3,0
2024-11-19,1,0
2024-11-20,4,0
2024-11-21,4,0
2024-11-22,1,0
2024-11-25,7,0
2024-11-26,2,0
2024-11-27,7,0
2024-11-28,3,0
2024-11-29,6,0
2024-12-02,3,0
2024-12-03,7,0
2024-12-04,8,0
2024-12-05,6,0
2024-12-06,7,0
2024-12-09,9,0
2024-12-10,4,0
2024-12-11,2,0
2024-12-12,3,0
2024-12-13,3,0
2024-12-16,5,0
2024-12-17,3,0
2024-12-18,1,0
2024-12-19,2,0
2024-12-23,5,0
2024-12-27,5,0
2024-12-30,8,0
2025-01-02,5,0
2025-01-03,1,0
2025-01-06,2,0
2025-01-07,1,0
2025-01-08,3,0
2025-01-09,1,0
2025-01-13,2,0
2025-01-14,4,0
2025-01-15,1,0
2025-01-16,1,0
2025-01-17,3,0
2025-01-20,4,0
2025-01-21,9,0
2025-01-22,11,0
2025-01-23,5,0
2025-01-24,2,0
2025-01-27,4,0
2025-01-28,2,0
2025-01-29,4,0
2025-01-30,4,0
2025-01-31,2,0
2025-02-03,1,0
2025-02-04,4,0
2025-02-05,1,0
2025-02-06,2,0
2025-02-07,1,0
2025-02-10,4,0
2025-02-11,2,0
2025-02-13,1,0
2025-02-14,2,0
2025-02-17,1,0
2025-02-18,1,0
2025-02-19,1,0
2025-02-20,1,0
2025-02-24,2,0
2025-02-25,2,0
2025-02-26,2,0
2025-02-27,1,0
2025-02-28,2,0
2025-03-03,4,0
2025-03-04,3,0
2025-03-05,1,0
2025-03-06,2,0
2025-03-10,2,0
2025-03-11,2,0
2025-03-12,2,0
2025-03-14,1,0
2025-03-17,2,0
2025-03-18,1,0
2025-03-19,1,0
2025-03-20,1,0
2025-03-24,4,0
2025-03-25,3,0
2025-03-26,5,0
2025-03-28,3,0
2025-03-31,1,0
2025-04-02,1,0
2025-04-03,1,0
2025-04-04,1,0
2025-04-09,1,0
2025-04-11,1,0
2025-04-17,1,0
2025-04-23,2,0
2025-05-14,1,0
